symbol,prob,adx,rsi,vol,outcome_r
USDCAD,0.7913368106000522,77.7,57.4,0.001101428571428523,1.4989939637820866
USDCAD,0.6923660829637979,46.1,66.0,0.0010428571428571548,1.501066098080178
USDCAD,0.8576392460430515,35.7,64.0,0.0015207142857142722,1.4999999999999514
USDCAD,0.8071924613096711,45.3,42.2,0.000980714285714303,1.496598639456816
USDCAD,0.8200082543056155,50.2,61.4,0.0014207142857142513,-1.0
USDCAD,0.8517266399695183,28.0,62.9,0.0007028571428571638,-1.0
USDCAD,0.730843279181562,31.6,35.2,0.0003571428571428654,-1.0
USDCAD,0.7447942536770262,27.9,51.1,0.0007478571428571731,1.5000000000003966
USDCAD,0.7882994183656348,26.4,57.6,0.0009828571428571425,1.4965986394560618
USDCAD,0.8202322720117059,20.0,61.2,0.0004964285714285723,-1.0
USDCAD,0.7919725657552994,20.8,54.4,0.00048357142857144035,1.4931506849320693
USDCAD,0.8849655887631119,15.8,49.1,0.0006914285714285492,-1.0
USDCAD,0.8806579826890149,18.1,62.2,0.0006314285714285527,-1.0
EURUSD,0.7510846877225731,44.9,40.6,8.142857142856563e-05,1.4999999999972244
EURUSD,0.8780473210272065,43.3,47.8,6.642857142856253e-05,1.5161290322570942
EURUSD,0.7827565154064936,39.2,63.5,0.0006235714285714059,1.4964285714284296
EURUSD,0.756486494603838,33.3,69.8,0.0006514285714285568,-1.0
EURUSD,0.7944039457665317,47.6,44.9,0.0005642857142857156,-1.0
EURUSD,0.7073791396421608,28.7,51.7,0.0004485714285714331,-1.0
EURUSD,0.7124019803859166,18.4,50.0,0.00036571428571428665,-1.0
EURUSD,0.7977022445637327,33.2,54.2,0.0003050000000000156,-1.0
EURUSD,0.928124345106028,26.4,37.1,0.00042285714285713753,1.5079365079358533
EURUSD,0.7620366184998214,19.4,51.8,0.00034928571428568693,1.4999999999997864
EURUSD,0.85231904362238,23.4,44.4,0.0003607142857143174,1.4968944099372483
EURUSD,0.8078329223699872,31.8,44.4,0.00042999999999999386,1.4923076923078131
EURUSD,0.7572063636155636,59.8,41.0,0.0007750000000000178,-1.0
EURUSD,0.7834939125176518,49.6,32.9,0.000488571428571473,-1.0
EURUSD,0.7945457137195175,64.2,40.0,0.0009021428571428672,-1.0
EURUSD,0.6630994124978514,53.5,45.6,0.00046571428571427564,1.502369668245829
EURUSD,0.7369448761347962,47.0,38.7,0.0005807142857142836,1.4942528735634355
EURUSD,0.9304867378631665,42.5,60.3,0.0004342857142857045,1.4948979591843186
EURUSD,0.8050006173261248,43.1,47.8,0.0003257142857142784,1.5102040816322646
EURUSD,0.8119614596344095,51.7,52.6,0.0007792857142856967,-1.0
EURUSD,0.7522105079313886,67.3,62.9,0.0009971428571428711,-1.0
EURUSD,0.815396286093728,62.4,67.4,0.0003249999999999563,1.5068493150669369
EURUSD,0.8975940409995176,20.8,68.3,0.0005185714285714635,-1.0
EURUSD,0.8698944760325298,51.0,62.7,0.0005107142857143009,-1.0
EURUSD,0.8149029952784993,73.5,56.6,0.0003049999999999997,-1.0
EURUSD,0.8715585040911406,74.9,57.5,0.00012857142857139854,1.4915254237298852
EURUSD,0.8674790731859461,39.6,51.5,0.00011000000000000692,1.5102040816334021
EURUSD,0.8582373560589178,39.4,61.2,9.999999999998899e-05,1.5227272727297156
EURUSD,0.717333420354748,61.0,66.2,0.0019928571428571456,1.5016722408026122
EURUSD,0.8235480317953301,59.8,41.1,0.0012200000000000147,1.5018248175185642
EURUSD,0.9527672854130406,52.2,49.7,0.0009699999999999788,1.5034482758617849
EURUSD,0.9121314535601013,32.8,65.7,0.0008771428571428938,-1.0
EURUSD,0.7806411631438288,24.3,60.4,0.0008621428571428114,1.4987146529565465
EURUSD,0.7819482863639847,33.6,67.7,0.0012728571428571392,1.5017482517487293
EURUSD,0.8687718163757387,42.3,53.9,0.0009671428571428807,-1.0
EURUSD,0.8125812234930649,63.2,62.1,0.0015642857142857006,-1.0
EURUSD,0.9389461630833026,59.7,54.3,0.0010092857142857284,-1.0
EURUSD,0.8366077630197023,54.8,59.5,0.0007649999999999998,-1.0
EURUSD,0.8195985255957019,45.6,67.3,0.0006178571428572097,-1.0
EURUSD,0.7622458681611495,30.3,60.3,0.000379285714285709,-1.0
EURUSD,0.7438058408951059,42.9,46.2,0.001275714285714253,1.4991304347826608
EURUSD,0.8238970240771871,57.9,50.8,0.0002221428571428533,1.4848484848490557
EURUSD,0.8375689615510086,65.6,30.5,0.00010642857142855495,1.4999999999951428
EURUSD,0.949903151025079,75.8,31.4,7.999999999998484e-05,1.4999999999990747
EURUSD,0.6961811048338464,26.8,48.4,0.00019142857142855668,-1.0
EURUSD,0.7058984815838691,26.3,34.7,0.0014599999999999533,1.4984802431611348
EURUSD,0.86456294087689,29.0,34.6,0.0010121428571428423,-1.0
EURUSD,0.8105073171348451,47.8,44.1,0.0006642857142857363,-1.0
EURUSD,0.7700885648112374,40.5,31.5,0.0007114285714286168,-1.0
EURUSD,0.7967315131346332,23.4,53.3,0.0006821428571428692,-1.0
EURUSD,0.7347691760018216,21.6,48.2,0.0008400000000000153,1.5013192612127617
EURUSD,0.8336984041245695,19.5,43.2,0.0007585714285714021,1.4970588235286095
EURUSD,0.7784645212782157,15.5,42.5,0.0010721428571428707,-1.0
GBPUSD,0.7661446710716765,17.6,52.2,0.00024000000000006555,1.5045871559636392
GBPUSD,0.889150225231993,78.5,33.9,0.00019714285714287984,1.4886363636385485
GBPUSD,0.8018962155754568,52.7,48.1,0.0003178571428571158,-1.0
GBPUSD,0.7938827098352244,37.0,46.1,0.0004821428571428437,1.5023041474645311
GBPUSD,0.770263410801518,40.2,67.1,0.000796428571428571,1.4986072423395456
GBPUSD,0.7328583498354162,48.9,56.9,0.0009071428571428524,-1.0
GBPUSD,0.829132222100834,66.1,57.0,0.00040285714285713336,1.502762430941087
GBPUSD,0.8893182408502289,51.0,56.9,0.00047071428571429256,-1.0
GBPUSD,0.8009668554958131,32.0,55.6,0.0006171428571428558,-1.0
GBPUSD,0.7859844693878961,30.5,34.1,0.00047999999999998836,1.4999999999983038
GBPUSD,0.8442734145008226,15.8,35.8,0.0003478571428571537,1.500000000000427
GBPUSD,0.8484459344303728,22.2,42.9,0.0006471428571428779,1.5034482758618615
GBPUSD,0.8129980375195209,35.5,31.3,0.0010321428571428784,-1.0
GBPUSD,0.9696459759102447,54.3,33.9,0.00033928571428568484,1.4901960784326105
GBPUSD,0.7988192093379832,29.6,36.5,0.0003092857142856945,1.5000000000004827
GBPUSD,0.7878732952281762,50.8,35.5,0.00042928571428567174,-1.0
